DAUID,TOPIC_THEME,TEXT_ID,TEXT_NAME_NOM,T_DATA_DONNEE,M_DATA_DONNEE,F_DATA_DONNEE
35060156,Language,8006,Official language minority (percentage),29.5,28.4,31.3
35060157,Language,7002,  French only,2.2,1.6,2
35060157,Language,8006,Official language minority (percentage),28,25.4,29.3
35060159,Language,7002,  French only,5.4,9.1,4.9
35060159,Language,8006,Official language minority (percentage),27.4,26.5,29.3
35060163,Language,7002,  French only,3.6,3,4.1
35060163,Language,8006,Official language minority (percentage),29.7,28.8,31.9
35060164,Language,7002,  French only,3.3,2.3,6.4
35060164,Language,8006,Official language minority (percentage),37.4,35.6,38.3
35060165,Language,7002,  French only,2,2,2
35060165,Language,8006,Official language minority (percentage),30.7,30,34
35060166,Language,7002,  French only,5.2,2.3,7.4
35060166,Language,8006,Official language minority (percentage),38.1,39.5,37
35060167,Language,7002,  French only,2.5,2.7,3.2
35060167,Language,8006,Official language minority (percentage),36.4,37.5,35.2
35060168,Language,7002,  French only,1.4,1.4,2.9
35060168,Language,8006,Official language minority (percentage),39.9,36.2,42
35060170,Language,7002,  French only,3.2,2.2,4
35060170,Language,8006,Official language minority (percentage),43.8,40.2,45.6
35060171,Language,7002,  French only,9.4,7.7,10.7
35060171,Language,8006,Official language minority (percentage),42.9,41.5,44.6
35060172,Language,7002,  French only,3.1,3.2,2.9
35060172,Language,8006,Official language minority (percentage),34.8,38.7,34.3
35060173,Language,7002,  French only,5,5.3,7
35060173,Language,8006,Official language minority (percentage),40,36.8,42.9
35060178,Language,7002,  French only,4.8,3.1,6.7
35060178,Language,8006,Official language minority (percentage),37.9,39.4,37.3
35060179,Language,7002,  French only,1.3,0,0
35060179,Language,8006,Official language minority (percentage),40.3,41,42.1
35060180,Language,7002,  French only,2.8,3,2.7
35060180,Language,8006,Official language minority (percentage),40.8,38.2,45.9
35060181,Language,7002,  French only,1.8,0,3.8
35060181,Language,8006,Official language minority (percentage),38.2,34.5,42.3
35060182,Language,7002,  French only,3.8,3.8,3.8
35060182,Language,8006,Official language minority (percentage),36.2,35.8,35.8
35060183,Language,7002,  French only,10.1,4.4,14.1
35060183,Language,8006,Official language minority (percentage),43.1,37.8,46.2
35060184,Language,7002,  French only,2.9,2.9,4.3
35060184,Language,8006,Official language minority (percentage),39.1,36.2,41.4
35060185,Language,7002,  French only,4.5,2.4,6.4
35060185,Language,8006,Official language minority (percentage),35.2,29.3,41.3
35060186,Language,7002,  French only,2.9,3.6,2.3
35060186,Language,8006,Official language minority (percentage),34.5,32.5,38.6
35060187,Language,7002,  French only,1.2,0,2.2
35060187,Language,8006,Official language minority (percentage),43.5,42.1,43.5
35060188,Language,7002,  French only,6.8,6.1,8.8
35060188,Language,8006,Official language minority (percentage),57.8,55.1,58.8
35060189,Language,7002,  French only,7.1,6.8,7.5
35060189,Language,8006,Official language minority (percentage),36.9,36.4,37.5
35060192,Language,7002,  French only,3.8,2.6,5.1
35060192,Language,8006,Official language minority (percentage),41,38.5,42.5
35060194,Language,7002,  French only,3,3.7,4.3
35060194,Language,8006,Official language minority (percentage),32,31.5,32.6
35060195,Language,7002,  French only,3.6,2.4,4.7
35060195,Language,8006,Official language minority (percentage),31.8,33.3,32.6
35060196,Language,7002,  French only,6.9,5.6,5.6
35060196,Language,8006,Official language minority (percentage),37.5,38.9,36.1
35060197,Language,7002,  French only,1.2,0.9,1.4
35060197,Language,8006,Official language minority (percentage),32.3,31,33.6
35060198,Language,7002,  French only,4.5,4.4,6.7
35060198,Language,8006,Official language minority (percentage),33.7,34.1,33.3
35060199,Language,7002,  French only,4.9,5,4.9
35060199,Language,8006,Official language minority (percentage),28,26.8,29.3
35060200,Language,7002,  French only,2.7,2.6,2.7
35060200,Language,8006,Official language minority (percentage),34.7,36.8,32.4
35060201,Language,7002,  French only,3.1,3.4,2.9
35060201,Language,8006,Official language minority (percentage),32.6,30.5,33.3
35060202,Language,7002,  French only,4.4,1.7,5.4
35060202,Language,8006,Official language minority (percentage),29.8,29.8,29.8
35060205,Language,7002,  French only,1,2,2
35060205,Language,8006,Official language minority (percentage),42.6,43.1,44
35060206,Language,7002,  French only,5.3,2.1,8.5
35060206,Language,8006,Official language minority (percentage),39.4,34,44.7
35060207,Language,7002,  French only,3.1,2,4.2
35060207,Language,8006,Official language minority (percentage),52.6,48,54.2
35060208,Language,7002,  French only,6.7,4.5,6.5
35060208,Language,8006,Official language minority (percentage),51.9,47.7,54.8
35060209,Language,7002,  French only,5.1,5,5.2
35060209,Language,8006,Official language minority (percentage),34.6,33.3,35.1
35060210,Language,7002,  French only,5.4,3.7,6.6
35060210,Language,8006,Official language minority (percentage),35.4,33.3,36.8
35060211,Language,7002,  French only,1.1,0,0
35060211,Language,8006,Official language minority (percentage),10.5,13,8.2
35060213,Language,7002,  French only,0,0,0
35060213,Language,8006,Official language minority (percentage),14.5,14.7,14.3
35060219,Language,7002,  French only,0.7,0,1.2
35060219,Language,8006,Official language minority (percentage),18.3,17.1,19.3
35060220,Language,7002,  French only,3.2,0,2.4
35060220,Language,8006,Official language minority (percentage),42.9,23.8,52.4
35060221,Language,7002,  French only,0.8,1.7,1.6
35060221,Language,8006,Official language minority (percentage),16.9,15,18.8
35060222,Language,7002,  French only,1.1,2.4,2
35060222,Language,8006,Official language minority (percentage),7.7,9.5,6
35060223,Language,7002,  French only,0,0,1.9
35060223,Language,8006,Official language minority (percentage),12.9,12.2,13.5
35060224,Language,7002,  French only,0,0,0
35060224,Language,8006,Official language minority (percentage),13.7,8.7,18.4
35060225,Language,7002,  French only,0,0,0
35060225,Language,8006,Official language minority (percentage),11.1,10.4,11.8
35060226,Language,7002,  French only,1.2,2.4,2.2
35060226,Language,8006,Official language minority (percentage),16.1,14.6,20
35060227,Language,7002,  French only,3.1,4.4,3.8
35060227,Language,8006,Official language minority (percentage),24,22.7,23.1
35060228,Language,7002,  French only,3.2,2.3,2
35060228,Language,8006,Official language minority (percentage),21.3,22.7,18
35060229,Language,7002,  French only,2.5,2.6,2.4
35060229,Language,8006,Official language minority (percentage),25,28.2,24.4
35060230,Language,7002,  French only,1.1,0,2
35060230,Language,8006,Official language minority (percentage),25.3,23.3,29.4
35060231,Language,7002,  French only,2.4,0,2.7
35060231,Language,8006,Official language minority (percentage),27.3,24.1,28.4
35060232,Language,7002,  French only,4,2,4
35060232,Language,8006,Official language minority (percentage),33.7,32,38
35060233,Language,7002,  French only,7.3,2.9,10.4
35060233,Language,8006,Official language minority (percentage),48.8,45.6,51
35060234,Language,7002,  French only,5.1,3.3,6.5
35060234,Language,8006,Official language minority (percentage),37.9,37.4,38.3
35060236,Language,7002,  French only,3.7,2.5,3.7
35060236,Language,8006,Official language minority (percentage),58.4,51.9,63.3
35060237,Language,7002,  French only,5.9,6,5.8
35060237,Language,8006,Official language minority (percentage),42.9,38,45.6
35060243,Language,7002,  French only,0.9,2,3.4
35060243,Language,8006,Official language minority (percentage),18.3,20,17.2
35060246,Language,7002,  French only,11.7,9.5,14.7
35060246,Language,8006,Official language minority (percentage),42,39.1,44.6
35060249,Language,7002,  French only,0.9,0,1.8
35060249,Language,8006,Official language minority (percentage),20.5,21.7,19.6
35060251,Language,7002,  French only,3.2,2,4.3
35060251,Language,8006,Official language minority (percentage),27.4,26.5,25.5
35060252,Language,7002,  French only,1.7,0,1.6
35060252,Language,8006,Official language minority (percentage),27.3,25.4,29
35060253,Language,7002,  French only,30.4,0,40
35060253,Language,8006,Official language minority (percentage),65.2,20,80
35060254,Language,7002,  French only,2.8,0,3.8
35060254,Language,8006,Official language minority (percentage),32.1,29.6,36.5
35060255,Language,7002,  French only,2.9,2.1,3.5
35060255,Language,8006,Official language minority (percentage),31.4,29.2,33.3
35060264,Language,7002,  French only,0,0,0
35060264,Language,8006,Official language minority (percentage),22.6,25,20
35060267,Language,7002,  French only,1.3,0,0
35060267,Language,8006,Official language minority (percentage),21.5,18.6,27
35060280,Language,7002,  French only,1.9,2,0
35060280,Language,8006,Official language minority (percentage),14.7,14.3,15.1
35060282,Language,7002,  French only,1,0,2
35060282,Language,8006,Official language minority (percentage),10.8,11.8,9.8
35060283,Language,7002,  French only,1.2,0,0
35060283,Language,8006,Official language minority (percentage),9.3,9.8,11.4
35060285,Language,7002,  French only,0,0,0
35060285,Language,8006,Official language minority (percentage),10,10,10.2
35060286,Language,7002,  French only,1.5,1.7,2.7
35060286,Language,8006,Official language minority (percentage),12.1,10.2,13.7
35060287,Language,7002,  French only,1,0,0
35060287,Language,8006,Official language minority (percentage),12.5,10.4,12.5
35060288,Language,7002,  French only,0,0,0
35060288,Language,8006,Official language minority (percentage),8.2,10.4,6
35060289,Language,7002,  French only,0,0,2
35060289,Language,8006,Official language minority (percentage),10.9,10.2,11.8
35060290,Language,7002,  French only,0,0,0
35060290,Language,8006,Official language minority (percentage),5.4,6.7,4.3
35060291,Language,7002,  French only,0,0,0
35060291,Language,8006,Official language minority (percentage),7.6,5.2,9.7
35060292,Language,7002,  French only,0,0,0
35060292,Language,8006,Official language minority (percentage),8.8,7,10.7
35060293,Language,7002,  French only,0.7,1.4,0
35060293,Language,8006,Official language minority (percentage),6.5,5.8,7.2
35060294,Language,7002,  French only,0,0,0
35060294,Language,8006,Official language minority (percentage),6.7,6.9,6.6
35060295,Language,7002,  French only,0,0,0
35060295,Language,8006,Official language minority (percentage),9,7,10.9
35060296,Language,7002,  French only,0,0,0
35060296,Language,8006,Official language minority (percentage),3.4,2.4,4.3
35060297,Language,7002,  French only,0,0,0
35060297,Language,8006,Official language minority (percentage),5.7,4.2,5.3
35060298,Language,7002,  French only,0,0,0
35060298,Language,8006,Official language minority (percentage),8.6,8.5,8.7
35060300,Language,7002,  French only,1,0,0
35060300,Language,8006,Official language minority (percentage),9.1,6.3,9.6
35060301,Language,7002,  French only,0,0,0
35060301,Language,8006,Official language minority (percentage),5.3,6.4,4.2
35060305,Language,7002,  French only,0.7,1.6,0
35060305,Language,8006,Official language minority (percentage),12.4,12.9,12
35060306,Language,7002,  French only,0,0,0
35060306,Language,8006,Official language minority (percentage),10.1,10.5,9.8
35060307,Language,7002,  French only,0,0,0
35060307,Language,8006,Official language minority (percentage),7.1,5.5,8.5
35060308,Language,7002,  French only,0,0,0
35060308,Language,8006,Official language minority (percentage),9.3,10.8,7.9
35060310,Language,7002,  French only,0,0,0
35060310,Language,8006,Official language minority (percentage),9.7,10.5,10.9
35060312,Language,7002,  French only,0,0,0
35060312,Language,8006,Official language minority (percentage),9.6,8.8,12.5
35060313,Language,7002,  French only,0,0,0
35060313,Language,8006,Official language minority (percentage),8.6,7.1,8
35060314,Language,7002,  French only,0,0,0
35060314,Language,8006,Official language minority (percentage),12,14,11.8
35060315,Language,7002,  French only,1.2,0,0
35060315,Language,8006,Official language minority (percentage),9.3,6.8,9.5
35060324,Language,7002,  French only,0,0,0
35060324,Language,8006,Official language minority (percentage),12.5,8.2,12.7
35060325,Language,7002,  French only,1.1,0,0
35060325,Language,8006,Official language minority (percentage),12.6,12.2,8.7
35060327,Language,7002,  French only,0,0,0
35060327,Language,8006,Official language minority (percentage),10.5,7.7,13.2
35060329,Language,7002,  French only,0.8,1.8,0
35060329,Language,8006,Official language minority (percentage),16.1,14.8,18.8
35060330,Language,7002,  French only,0.8,0,1.6
35060330,Language,8006,Official language minority (percentage),15.7,15.5,15.9
35060331,Language,7002,  French only,0,0,0
35060331,Language,8006,Official language minority (percentage),15.6,13,18
35060332,Language,7002,  French only,0,0,0
35060332,Language,8006,Official language minority (percentage),13.7,13.3,11.9
35060333,Language,7002,  French only,0.9,2,0
35060333,Language,8006,Official language minority (percentage),18.5,19.6,17.5
35060334,Language,7002,  French only,0,0,0
35060334,Language,8006,Official language minority (percentage),14.4,14.6,14.3
35060336,Language,7002,  French only,1,2,1.9
35060336,Language,8006,Official language minority (percentage),12.5,9.8,13.2
